År;Kommune;Arbeiderpartiet;Fremskrittspartiet;Høyre;Kristelig Folkeparti;Senterpartiet;Sosialistisk Venstreparti;Venstre;Miljøpartiet de Grønne;Rødt;Andre lister
1975;K-3822 Nissedal;304;0;46;246;110;23;50;0;0;0
1975;K-3823 Fyresdal;447;0;30;92;157;21;41;0;0;0
1975;K-3824 Tokke;697;0;145;217;259;62;54;0;0;0
1975;K-3825 Vinje;676;0;86;305;537;182;45;0;0;0
1975;K-4201 Risør;1084;0;560;668;230;54;229;0;0;0
1975;K-4202 Grimstad;1343;0;1328;1389;631;111;216;0;0;0
1975;K-4203 Arendal;5438;0;3489;2635;864;456;527;0;0;0
1975;K-4204 Kristiansand;7566;0;7222;7392;1593;1115;1883;0;0;225
1975;K-4205 Lindesnes;1745;0;1672;1444;1101;275;361;0;0;291
1975;K-4206 Farsund;587;0;1469;765;242;92;189;0;0;214
1975;K-4207 Flekkefjord;816;0;825;978;491;106;310;0;0;26
1975;K-4211 Gjerstad;519;0;106;218;149;48;69;0;0;0
1975;K-4212 Vegårshei;373;0;65;269;104;24;20;0;0;0
1975;K-4213 Tvedestrand;791;0;446;659;294;45;75;0;0;0
1975;K-4214 Froland;638;0;72;341;242;67;103;0;0;0
1975;K-4215 Lillesand;540;0;924;556;284;116;144;0;0;0
1975;K-4216 Birkenes;416;0;155;389;474;24;39;0;0;0
1975;K-4217 Åmli;546;0;40;147;204;60;24;0;0;0
1975;K-4218 Iveland;109;0;25;84;124;5;22;0;0;0
1975;K-4219 Evje og Hornnes;657;0;235;298;212;61;63;0;0;0
1975;K-4220 Bygland;231;0;28;137;311;7;10;0;0;0
1975;K-4221 Valle;253;0;18;127;306;39;11;0;0;0
1975;K-4222 Bykle;74;0;13;50;70;7;2;0;0;0
1975;K-4223 Vennesla;1824;0;344;1315;469;204;191;0;0;40
1975;K-4224 Åseral;65;0;83;89;193;1;18;0;0;7
1975;K-4225 Lyngdal;575;0;747;769;661;35;85;0;0;34
1975;K-4226 Hægebostad;127;0;161;214;108;5;13;0;0;172
1975;K-4227 Kvinesdal;431;0;396;801;169;87;128;0;0;99
1975;K-4228 Sirdal;134;0;74;122;366;6;68;0;0;21
1975;K-1101 Eigersund;1303;0;991;1099;618;150;211;0;0;0
1975;K-1103 Stavanger;14994;0;11466;7037;2116;1953;833;0;0;0
1975;K-1106 Haugesund;4301;0;2817;2195;481;401;473;0;0;0
1975;K-1108 Sandnes;4884;0;3169;3376;1597;537;363;0;0;0
1975;K-1111 Sokndal;311;0;391;405;290;71;18;0;0;0
1975;K-1112 Lund;336;0;222;374;354;19;11;0;0;0
1975;K-1114 Bjerkreim;50;0;102;263;455;5;18;0;0;0
1975;K-1119 Hå;674;0;564;1512;1224;92;130;0;0;0
1975;K-1120 Klepp;686;0;608;869;1049;74;105;0;0;0
1975;K-1121 Time;850;0;715;829;984;87;88;0;0;0
1975;K-1122 Gjesdal;604;0;326;487;496;64;39;0;0;0
1975;K-1124 Sola;972;0;1294;767;722;62;45;0;0;0
1975;K-1127 Randaberg;537;0;438;599;520;43;29;0;0;0
1975;K-1130 Strand;683;0;338;1028;356;152;122;0;0;0
1975;K-1133 Hjelmeland;81;0;117;414;450;19;29;0;0;0
1975;K-1134 Suldal;339;0;139;503;478;60;171;0;0;0
1975;K-1135 Sauda;1327;0;281;514;269;211;148;0;0;0
1975;K-1144 Kvitsøy;44;0;71;115;15;1;0;0;0;0
1975;K-1145 Bokn;14;0;36;48;197;9;0;0;0;0
1975;K-1146 Tysvær;414;0;252;934;476;67;259;0;0;0
1975;K-1149 Karmøy;2825;0;1633;3547;912;329;619;0;0;0
1975;K-1151 Utsira;13;0;12;27;65;4;4;0;0;0
1975;K-1160 Vindafjord;382;0;527;890;1063;42;82;0;0;0
1975;K-4601 Bergen;32061;0;30600;12376;3075;5675;3088;0;0;0
1975;K-4602 Kinn;766;0;614;863;246;1060;982;0;0;2039
1975;K-4611 Etne;426;0;272;452;455;17;100;0;0;0
1975;K-4612 Sveio;244;0;129;552;484;15;78;0;0;0
1975;K-4613 Bømlo;677;0;956;1422;216;43;95;0;0;0
1975;K-4614 Stord;1364;0;1434;955;259;258;231;0;0;0
1975;K-4615 Fitjar;201;0;288;431;174;24;37;0;0;0
1975;K-4616 Tysnes;570;0;244;390;240;19;23;0;0;0
1975;K-4617 Kvinnherad;1194;0;622;1164;1742;121;80;0;0;0
1975;K-4618 Ullensvang;2078;0;479;684;398;791;321;0;0;0
1975;K-4619 Eidfjord;0;0;0;0;0;0;0;0;0;0
1975;K-4620 Ulvik;160;0;62;41;247;28;28;0;0;0
1975;K-4621 Voss;2822;0;671;905;1938;283;212;0;0;0
1975;K-4622 Kvam;938;0;489;994;911;176;154;0;0;0
1975;K-4623 Samnanger;443;0;100;274;126;23;19;0;0;0
1975;K-4624 Bjørnafjorden;1365;0;1264;1082;944;85;232;0;0;0
1975;K-4625 Austevoll;280;0;672;405;220;19;19;0;0;0
1975;K-4626 Øygarden;1550;0;1511;2013;412;153;237;0;0;0
1975;K-4627 Askøy;2007;0;1107;1098;128;259;572;0;0;0
1975;K-4628 Vaksdal;1227;0;132;500;285;71;40;0;0;0
1975;K-4629 Modalen;14;0;7;21;57;2;8;0;0;0
1975;K-4630 Osterøy;844;0;258;492;675;104;99;0;0;0
1975;K-4631 Alver;1535;0;1012;2171;1670;149;260;0;0;0
1975;K-4632 Austrheim;200;0;350;224;106;7;16;0;0;0
1975;K-4633 Fedje;81;0;70;133;39;1;5;0;0;0
1975;K-4634 Masfjorden;162;0;39;313;249;13;85;0;0;0
1975;K-4635 Gulen;186;0;106;233;592;32;55;0;0;19
1975;K-4636 Solund;61;0;130;172;87;8;41;0;0;10
1975;K-4637 Hyllestad;179;0;155;290;176;20;11;0;0;2
1975;K-4638 Høyanger;1158;0;99;210;246;234;51;0;0;496
1975;K-4639 Vik;274;0;90;103;463;20;23;0;0;85
1975;K-4640 Sogndal;1043;0;824;655;726;170;653;0;0;125
1975;K-4641 Aurland;478;0;100;76;198;16;30;0;0;15
1975;K-4642 Lærdal;482;0;47;27;438;65;40;0;0;84
1975;K-4643 Årdal;2173;0;189;146;156;205;77;0;0;95
1975;K-4644 Luster;1022;0;87;397;922;39;56;0;0;21
1975;K-4645 Askvoll;214;0;297;203;545;27;32;0;0;27
1975;K-4646 Fjaler;609;0;384;263;200;36;51;0;0;10
1975;K-4647 Sunnfjord;996;0;2584;1116;926;83;127;0;0;12
1975;K-4648 Bremanger;402;0;113;286;171;259;208;0;0;885
1975;K-4649 Stad;200;0;177;495;532;252;142;0;0;2030
1975;K-4650 Gloppen;279;0;311;639;1363;68;129;0;0;109
1975;K-4651 Stryn;0;0;0;0;0;0;0;0;0;0
1975;K-1505 Kristiansund;4466;0;2212;1058;414;570;1453;0;0;34
1975;K-1506 Molde;3126;0;1554;2364;1944;522;698;0;0;113
1975;K-1507 Ålesund;789;0;677;1105;818;129;590;0;0;342
1975;K-1511 Vanylven;219;0;74;367;786;13;179;0;0;98
1975;K-1514 Sande;196;0;107;474;158;15;275;0;0;326
1975;K-1515 Herøy (Møre og Romsdal);725;0;558;1119;387;36;410;0;0;231
1975;K-1516 Ulstein;286;0;317;776;306;54;196;0;0;33
1975;K-1517 Hareid;198;0;282;448;226;63;478;0;0;13
1975;K-1520 Ørsta;794;0;412;997;1424;221;356;0;0;60
1975;K-1525 Stranda;442;0;172;496;438;49;112;0;0;474
1975;K-1528 Sykkylven;317;0;256;576;362;39;83;0;0;1099
1975;K-1531 Sula;0;0;0;0;0;0;0;0;0;0
1975;K-1532 Giske;297;0;290;1059;375;32;223;0;0;25
1975;K-1535 Vestnes;574;0;183;532;417;57;207;0;0;384
1975;K-1539 Rauma;1081;0;524;743;647;131;155;0;0;36
1975;K-1547 Aukra;192;0;77;263;394;30;84;0;0;72
1975;K-1554 Averøy;792;0;134;318;701;29;212;0;0;54
1975;K-1557 Gjemnes;342;0;96;285;469;27;47;0;0;120
1975;K-1560 Tingvoll;547;0;69;300;480;62;88;0;0;35
1975;K-1563 Sunndal;1709;0;325;408;644;216;103;0;0;50
1975;K-1566 Surnadal;1238;0;177;355;984;38;74;0;0;7
1975;K-1573 Smøla;377;0;179;181;176;182;185;0;0;3
1975;K-1576 Aure;647;0;162;306;519;26;187;0;0;128
1975;K-1577 Volda;507;0;259;956;794;154;702;0;0;68
1975;K-1578 Fjord;79;0;23;131;595;13;48;0;0;113
1975;K-1579 Hustadvika;1041;0;287;974;1369;106;245;0;0;36
1975;K-5001 Trondheim;23481;0;15793;5433;4560;5284;2337;0;0;254
1975;K-5006 Steinkjer;4571;0;895;519;2748;512;877;0;0;46
1975;K-5007 Namsos;2624;0;664;617;1086;475;422;0;0;12
1975;K-5014 Frøya;869;0;246;444;328;51;152;0;0;16
1975;K-5020 Osen;202;0;28;144;143;11;46;0;0;8
1975;K-5021 Oppdal;839;0;246;354;802;48;91;0;0;42
1975;K-5022 Rennebu;462;0;65;314;386;27;93;0;0;4
1975;K-5025 Røros;1256;0;279;172;394;274;180;0;0;29
1975;K-5026 Holtålen;847;0;37;153;229;125;19;0;0;13
1975;K-5027 Midtre Gauldal;1200;0;258;432;855;112;138;0;0;12
1975;K-5028 Melhus;1922;0;483;591;1298;189;199;0;0;19
1975;K-5029 Skaun;711;0;202;216;645;111;69;0;0;5
1975;K-5031 Malvik;1806;0;478;238;369;256;167;0;0;20
1975;K-5032 Selbu;770;0;202;173;477;217;139;0;0;5
1975;K-5033 Tydal;197;0;22;19;86;51;88;0;0;0
1975;K-5034 Meråker;798;0;69;67;108;196;211;0;0;14
1975;K-5035 Stjørdal;2656;0;535;670;1553;351;399;0;0;9
1975;K-5036 Frosta;359;0;72;165;244;17;61;0;0;258
1975;K-5037 Levanger;2332;0;720;797;1487;274;689;0;0;209
1975;K-5038 Verdal;2229;0;393;303;1147;509;283;0;0;25
1975;K-5041 Snåase - Snåsa;422;0;72;29;650;94;83;0;0;2
1975;K-5042 Lierne;224;0;33;76;217;37;89;0;0;2
1975;K-5043 Raarvihke - Røyrvik;133;0;7;87;28;36;34;0;0;2
1975;K-5044 Namsskogan;424;0;33;73;101;30;22;0;0;21
1975;K-5045 Grong;536;0;118;50;424;92;121;0;0;1
1975;K-5046 Høylandet;281;0;11;42;275;10;87;0;0;1
1975;K-5047 Overhalla;495;0;88;64;644;57;258;0;0;2
1975;K-5049 Flatanger;152;0;33;140;140;21;59;0;0;117
1975;K-5052 Leka;164;0;13;27;196;20;22;0;0;7
1975;K-5053 Inderøy;1344;0;98;269;1112;58;210;0;0;22
1975;K-5054 Indre Fosen;1283;0;332;718;1669;124;176;0;0;50
1975;K-5055 Heim;0;0;0;0;0;0;0;0;0;0
1975;K-5056 Hitra;0;0;0;0;0;0;0;0;0;0
1975;K-5057 Ørland;942;0;573;416;1647;109;100;0;0;130
1975;K-5058 Åfjord;529;0;357;534;722;30;65;0;0;16
1975;K-5059 Orkland;0;0;0;0;0;0;0;0;0;0
1975;K-5060 Nærøysund;1509;0;506;435;992;261;359;0;0;7
1975;K-5061 Rindal;343;0;20;186;440;14;16;0;0;54
1975;K-1804 Bodø;4657;0;3862;1576;1152;677;547;0;0;0
1975;K-1806 Narvik;0;0;0;0;0;0;0;0;0;0
1975;K-1811 Bindal;411;0;39;79;468;145;18;0;0;0
1975;K-1812 Sømna;0;0;0;0;0;0;0;0;0;0
1975;K-1813 Brønnøy;0;0;0;0;0;0;0;0;0;0
1975;K-1815 Vega;394;0;41;71;191;72;65;0;0;0
1975;K-1816 Vevelstad;194;0;55;31;93;18;7;0;0;0
1975;K-1818 Herøy (Nordland);487;0;128;156;84;29;28;0;0;0
1975;K-1820 Alstahaug;940;0;493;314;563;169;179;0;0;0
1975;K-1822 Leirfjord;462;0;68;114;366;30;36;0;0;0
1975;K-1824 Vefsn;2663;0;609;401;858;383;299;0;0;0
1975;K-1825 Grane;466;0;34;48;204;51;15;0;0;0
1975;K-1826 Hattfjelldal;433;0;11;59;240;83;52;0;0;0
1975;K-1827 Dønna;253;0;272;81;185;101;7;0;0;0
1975;K-1828 Nesna;366;0;81;99;208;62;43;0;0;0
1975;K-1832 Hemnes;1013;0;232;170;356;211;72;0;0;0
1975;K-1833 Rana;5289;0;993;597;666;1324;307;0;0;0
1975;K-1834 Lurøy;437;0;265;248;165;64;17;0;0;0
1975;K-1835 Træna;52;0;11;117;26;1;2;0;0;0
1975;K-1836 Rødøy;181;0;188;434;81;61;46;0;0;0
1975;K-1837 Meløy;1150;0;765;585;217;202;126;0;0;0
1975;K-1838 Gildeskål;558;0;233;189;223;66;60;0;0;0
1975;K-1839 Beiarn;374;0;40;78;168;32;13;0;0;0
1975;K-1840 Saltdal;1003;0;281;166;358;186;102;0;0;0
1975;K-1841 Fauske - Fuosko;2459;0;475;168;324;387;350;0;0;0
1975;K-1845 Sørfold;726;0;183;158;261;63;58;0;0;0
1975;K-1848 Steigen;416;0;124;291;611;59;55;0;0;0
1975;K-1851 Lødingen;600;0;522;80;125;27;53;0;0;0
1975;K-1853 Evenes;369;0;99;83;235;21;50;0;0;0
1975;K-1856 Røst;138;0;65;21;52;12;16;0;0;0
1975;K-1857 Værøy;213;0;37;53;90;17;9;0;0;0
1975;K-1859 Flakstad;280;0;108;115;222;46;13;0;0;0
1975;K-1860 Vestvågøy;1514;0;490;853;963;172;142;0;0;0
1975;K-1865 Vågan;1396;0;813;379;502;223;151;0;0;0
1975;K-1866 Hadsel;1394;0;534;438;498;239;337;0;0;0
1975;K-1867 Bø;617;0;247;330;239;175;663;0;0;0
1975;K-1868 Øksnes;646;0;305;374;232;100;101;0;0;0
1975;K-1870 Sortland - Suortá;1038;0;494;322;546;274;194;0;0;0
1975;K-1871 Andøy;1136;0;667;303;321;102;541;0;0;0
1975;K-1874 Moskenes;443;0;58;86;46;34;14;0;0;0
1975;K-1875 Hamarøy;0;0;0;0;0;0;0;0;0;0
1975;K-5401 Tromsø;6129;0;3536;1943;1401;1550;1086;0;0;0
1975;K-5402 Harstad;2913;0;3758;801;620;392;302;0;0;0
1975;K-5403 Alta;1632;0;514;582;384;757;301;0;0;27
1975;K-5404 Vardø;910;0;207;99;19;265;196;0;0;3
1975;K-5405 Vadsø;1302;0;482;234;123;352;86;0;0;18
1975;K-5406 Hammerfest;2505;0;720;398;233;462;118;0;0;13
1975;K-5411 Kvæfjord;537;0;370;139;274;77;184;0;0;0
1975;K-5412 Tjeldsund;1048;0;426;497;290;77;80;0;0;0
1975;K-5413 Ibestad;330;0;120;122;604;41;107;0;0;0
1975;K-5414 Gratangen;510;0;147;109;85;62;9;0;0;0
1975;K-5415 Loabák - Lavangen;0;0;0;0;0;0;0;0;0;0
1975;K-5416 Bardu;840;0;338;98;456;61;50;0;0;0
1975;K-5417 Salangen;0;0;0;0;0;0;0;0;0;0
1975;K-5418 Målselv;1295;0;816;234;624;130;192;0;0;0
1975;K-5419 Sørreisa;822;0;144;184;187;81;10;0;0;0
1975;K-5420 Dyrøy;315;0;90;100;235;90;7;0;0;0
1975;K-5421 Senja;3269;0;671;1296;953;471;165;0;0;0
1975;K-5422 Balsfjord;1148;0;155;385;646;176;187;0;0;0
1975;K-5423 Karlsøy;499;0;48;98;304;48;39;0;0;0
1975;K-5424 Lyngen;773;0;66;226;167;186;75;0;0;0
1975;K-5425 Storfjord - Omasvuotna - Omasvuono;450;0;49;48;66;150;12;0;0;0
1975;K-5426 Gáivuotna - Kåfjord - Kaivuono;502;0;31;381;211;184;10;0;0;0
1975;K-5427 Skjervøy;467;0;115;224;305;78;162;0;0;0
1975;K-5428 Nordreisa;720;0;395;213;251;104;60;0;0;0
1975;K-5429 Kvænangen;415;0;109;253;60;41;34;0;0;0
1975;K-5430 Guovdageaidnu - Kautokeino;283;0;280;149;59;29;77;0;0;201
1975;K-5432 Loppa;605;0;40;85;88;94;23;0;0;3
1975;K-5433 Hasvik;542;0;91;59;25;60;5;0;0;2
1975;K-5434 Måsøy;501;0;60;78;201;144;3;0;0;6
1975;K-5435 Nordkapp;1040;0;356;109;141;310;4;0;0;13
1975;K-5436 Porsanger - Porsángu - Porsanki ;1029;0;427;171;179;130;23;0;0;51
1975;K-5437 Kárásjohka - Karasjok;480;0;114;82;87;50;14;0;0;408
1975;K-5438 Lebesby;529;0;93;80;26;107;8;0;0;3
1975;K-5439 Gamvik;522;0;40;62;32;77;8;0;0;4
1975;K-5440 Berlevåg;508;0;100;53;15;131;18;0;0;2
1975;K-5441 Deatnu - Tana;654;0;170;127;255;111;26;0;0;112
1975;K-5442 Unjárga - Nesseby;303;0;88;29;86;20;5;0;0;51
1975;K-5443 Båtsfjord;535;0;166;78;9;146;4;0;0;2
1975;K-5444 Sør-Varanger;2260;0;979;266;258;636;121;0;0;19
1975;K-21-22 Svalbard og Jan Mayen;0;0;0;0;0;0;0;0;0;0
1975;K-23 Kontinentalsokkelen;0;0;0;0;0;0;0;0;0;0
1975;K-Rest Delte kommuner og uoppgitt;29479;0;12933;9682;11175;4255;3967;0;0;2390
1979;K-3001 Halden;7519;326;3172;1784;928;539;467;0;0;0
1979;K-3002 Moss;8478;310;7564;1195;732;666;631;0;0;0
1979;K-3003 Sarpsborg;12292;345;5558;2825;1093;850;882;0;0;0
1979;K-3004 Fredrikstad;16849;394;10142;3451;1159;1282;1417;0;0;0
1979;K-3005 Drammen;17109;1016;14720;2858;932;1574;734;0;0;0
1979;K-3006 Kongsberg;4796;178;3457;544;838;471;733;0;0;0
1979;K-3007 Ringerike;7642;245;3971;714;813;548;420;0;0;0
1979;K-3011 Hvaler;480;18;508;164;92;54;28;0;0;0
1979;K-3012 Aremark;344;5;97;167;155;10;7;0;0;0
1979;K-3013 Marker;823;9;245;457;386;25;25;0;0;0
1979;K-3014 Indre Østfold;5785;317;4295;2047;3097;401;593;0;0;0
1979;K-3015 Skiptvet;480;15;249;229;327;23;69;0;0;0
1979;K-3016 Rakkestad;1360;29;610;847;929;25;112;0;0;0
1979;K-3017 Råde;1018;36;728;488;437;49;67;0;0;0
1979;K-3018 Våler (Viken);398;30;529;179;304;81;37;0;0;0
1979;K-3019 Vestby;1547;167;1770;240;527;216;199;0;0;0
1979;K-3020 Nordre Follo;5487;741;8443;1056;691;1082;977;0;0;0
1979;K-3021 Ås;1558;149;1751;349;973;375;445;0;0;0
1979;K-3022 Frogn;1305;256;1876;181;375;207;312;0;0;0
1979;K-3023 Nesodden;1280;174;2038;403;144;457;511;0;0;0
1979;K-3024 Bærum;8831;1942;26511;1905;908;2171;2516;0;0;0
1979;K-3025 Asker;8404;1197;12876;1682;1413;1655;1901;0;0;0
1979;K-3026 Aurskog-Høland;3553;130;1060;775;1074;163;173;0;0;0
1979;K-3027 Rælingen;2514;154;2036;310;209;330;254;0;0;0
1979;K-3028 Enebakk;1227;142;914;252;307;142;139;0;0;0
1979;K-3029 Lørenskog;4653;413;3738;549;284;756;613;0;0;0
1979;K-3030 Lillestrøm;11723;701;7951;1506;1703;1233;1109;0;0;0
1979;K-3031 Nittedal;2639;240;2294;285;322;360;731;0;0;0
1979;K-3032 Gjerdrum;658;62;431;157;285;33;46;0;0;0
