;År;Kommunenr;Kommunenavn;Arbeiderpartiet;Fremskrittspartiet;Høyre;Kristelig Folkeparti;Senterpartiet;Sosialistisk Venstreparti;Venstre;Miljøpartiet de Grønne;Rødt;Andre lister;stemmer totalt;Arbeiderpartiet-prosent;Fremskrittspartiet-prosent;Høyre-prosent;Kristelig Folkeparti-prosent;Senterpartiet-prosent;Sosialistisk Venstreparti-prosent;Venstre-prosent;Miljøpartiet de Grønne-prosent;Rødt-prosent;Andre lister-prosent
3930;2015;5428;Nordreisa;473;479;177;167;205;127;24;70;51;11;1784;0.265;0.268;0.099;0.094;0.115;0.071;0.013;0.039;0.029;0.006
3931;2015;5429;Kvænangen;151;83;52;16;22;17;0;11;6;1;359;0.421;0.231;0.145;0.045;0.061;0.047;0.0;0.031;0.017;0.003
3932;2015;5430;Guovdageaidnu;280;50;148;64;36;19;732;31;7;25;1392;0.201;0.036;0.106;0.046;0.026;0.014;0.526;0.022;0.005;0.018
3933;2015;5432;Loppa;165;31;62;6;49;30;11;11;1;1;367;0.45;0.084;0.169;0.016;0.134;0.082;0.03;0.03;0.003;0.003
3934;2015;5433;Hasvik;227;23;76;10;47;5;3;12;6;3;412;0.551;0.056;0.184;0.024;0.114;0.012;0.007;0.029;0.015;0.007
3935;2015;5434;Måsøy;230;16;71;2;90;12;1;8;2;0;432;0.532;0.037;0.164;0.005;0.208;0.028;0.002;0.019;0.005;0.0
3936;2015;5435;Nordkapp;605;43;184;8;16;195;41;21;5;3;1121;0.54;0.038;0.164;0.007;0.014;0.174;0.037;0.019;0.004;0.003
3937;2015;5436;Porsanger;848;108;634;37;98;87;31;62;24;9;1938;0.438;0.056;0.327;0.019;0.051;0.045;0.016;0.032;0.012;0.005
3938;2015;5437;Kárásjohka;592;34;64;51;329;22;89;62;17;4;1264;0.468;0.027;0.051;0.04;0.26;0.017;0.07;0.049;0.013;0.003
3939;2015;5438;Lebesby;265;64;53;26;29;30;5;49;11;8;540;0.491;0.119;0.098;0.048;0.054;0.056;0.009;0.091;0.02;0.015
3940;2015;5439;Gamvik;289;69;41;1;5;66;4;7;5;2;489;0.591;0.141;0.084;0.002;0.01;0.135;0.008;0.014;0.01;0.004
3941;2015;5440;Berlevåg;226;12;50;2;13;19;8;10;6;0;346;0.653;0.035;0.145;0.006;0.038;0.055;0.023;0.029;0.017;0.0
3942;2015;5441;Deatnu;560;127;139;22;236;48;39;58;9;19;1257;0.446;0.101;0.111;0.018;0.188;0.038;0.031;0.046;0.007;0.015
3943;2015;5442;Unjárga;247;29;43;10;37;39;15;19;5;9;453;0.545;0.064;0.095;0.022;0.082;0.086;0.033;0.042;0.011;0.02
3944;2015;5443;Båtsfjord;475;48;243;4;9;18;7;15;3;0;822;0.578;0.058;0.296;0.005;0.011;0.022;0.009;0.018;0.004;0.0
3945;2015;5444;Sør-Varanger;2048;288;509;63;509;229;67;129;48;28;3918;0.523;0.074;0.13;0.016;0.13;0.058;0.017;0.033;0.012;0.007
3946;2015;21;Svalbard;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3947;2015;23;Kontinentalsokkelen;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
