;År;Kommunenr;Kommunenavn;Boligbebyggelse;Fritidsbebyggelse;Bebygd område for landbruk og fiske;Næring. offentlig og privat tjenesteyting;Undervisning og barnehage;Helse- og sosialinstitusjoner;Kultur og religiøse aktiviteter;Transport. telekommunikasjon og teknisk infrastruktur;Beredskapstjenester og Forsvaret;Grønne områder. idretts- og sportsområder;Uklassifisert bebyggelse og anlegg;Jordbruksareal;Skog;Åpen fastmark;Våtmark;Bart fjell. grus- og blokkmark;Varig snø. is og bre;Ferskvann;Uklassifisert ubebygd område
4770;2011;1531;Sula;0.0405;0.0021;0.0056;0.0068;0.0012;0.0003;0.0005;0.0241;0.0;0.0024;0.0044;0.0539;0.3963;0.4161;0.0087;0.0096;0.0;0.0274;0.0
4771;2013;1531;Sula;0.0417;0.0021;0.0056;0.0072;0.0014;0.0003;0.0005;0.0248;0.0;0.0024;0.0044;0.0533;0.395;0.4156;0.0087;0.0096;0.0;0.0274;0.0
4772;2014;1531;Sula;0.0425;0.0021;0.0058;0.0072;0.0014;0.0003;0.0005;0.0243;0.0;0.0026;0.0044;0.053;0.3949;0.4156;0.0087;0.0096;0.0;0.0272;0.0
4773;2015;1531;Sula;0.0426;0.0021;0.0058;0.0075;0.0014;0.0003;0.0005;0.0243;0.0;0.0026;0.0043;0.0528;0.3949;0.4156;0.0087;0.0096;0.0;0.0272;0.0
4774;2016;1531;Sula;0.0431;0.0021;0.0056;0.0077;0.0015;0.0003;0.0005;0.0231;0.0;0.0024;0.0044;0.0528;0.3953;0.4158;0.0087;0.0096;0.0;0.027;0.0
4775;2017;1531;Sula;0.0432;0.0021;0.0058;0.0077;0.0015;0.0005;0.0005;0.0227;0.0;0.0024;0.0044;0.0526;0.3956;0.4157;0.0087;0.0096;0.0;0.0268;0.0
4776;2018;1531;Sula;0.0438;0.0022;0.0053;0.0079;0.0015;0.0005;0.0005;0.0238;0.0003;0.0032;0.0062;0.0506;0.3944;0.4146;0.0087;0.0096;0.0;0.0268;0.0
4777;2019;1531;Sula;0.0448;0.0022;0.0053;0.0079;0.0017;0.0005;0.0005;0.0238;0.0003;0.0034;0.0073;0.0492;0.3937;0.4129;0.0087;0.0096;0.0;0.0282;0.0
4778;2020;1531;Sula;0.0451;0.0022;0.005;0.008;0.0017;0.0005;0.0005;0.0239;0.0003;0.0034;0.008;0.0489;0.3933;0.4124;0.0087;0.0097;0.0;0.0282;0.0
4779;2011;1532;Giske;0.0498;0.0022;0.0212;0.0121;0.002;0.0005;0.0007;0.0582;0.0002;0.0079;0.0047;0.2914;0.0619;0.3723;0.0651;0.0308;0.0;0.019;0.0
4780;2013;1532;Giske;0.0525;0.0022;0.021;0.0118;0.002;0.0005;0.0007;0.0592;0.0002;0.0081;0.0044;0.2901;0.0617;0.371;0.0651;0.0306;0.0;0.0187;0.0
4781;2014;1532;Giske;0.0533;0.0022;0.021;0.0126;0.002;0.0007;0.0007;0.0609;0.0002;0.0079;0.0042;0.2885;0.0614;0.3699;0.0646;0.0306;0.0;0.0192;0.0
4782;2015;1532;Giske;0.0538;0.0022;0.021;0.0123;0.0022;0.0007;0.0007;0.0646;0.0002;0.0081;0.0042;0.2872;0.0609;0.3684;0.0619;0.0306;0.0;0.0207;0.0
4783;2016;1532;Giske;0.0543;0.0022;0.021;0.0121;0.002;0.0007;0.0007;0.0636;0.0002;0.0081;0.0044;0.2883;0.0609;0.3679;0.0624;0.0308;0.0;0.0202;0.0
4784;2017;1532;Giske;0.0543;0.0022;0.0212;0.0121;0.002;0.0007;0.0007;0.0636;0.0002;0.0081;0.0044;0.288;0.0609;0.3674;0.0624;0.0308;0.0;0.0207;0.0
4785;2018;1532;Giske;0.0557;0.0022;0.0207;0.0118;0.0025;0.0005;0.001;0.0654;0.0002;0.0086;0.0054;0.2858;0.0604;0.3645;0.0636;0.0308;0.0;0.0207;0.0
